id,is_official_ja,name_ja,name_en,published_year,revision_id
1,1,アグリコラ,Agricola,2007,1
2,0,四季拡張,Through the Seasons,2008,1
3,0,Zデッキ,Z-Deck,2008,1
4,0,Xデッキ,X-Deck,2008,1
5,0,Öデッキ,Ö-Deck,2008,1
6,1,泥沼からの出発,Farmers of the Moor,2009,1
7,0,Czデッキ,Cz-Deck,2009,1
8,0,ゲーマーズデッキ,Gamers' Deck,2010,1
9,0,Legen*dairy Forestデッキ,The Legen*dairy Forest-Deck,2010,1
10,1,プレミアムグッズ,The Goodies Expansion,2010,1
11,1,世界選手権デッキ,World Championship Deck – 2011,2011,1
12,0,NLデッキ,NL-Deck,2011,1
13,0,ベルギーデッキ,Belgium Deck,2012,1
14,0,πデッキ,Pi-Deck,2012,1
15,0,ビーレフェルトデッキ,Bielefeld Deck,2013,1
16,0,フランスデッキ,France Deck,2014,1
17,1,アグリコラ リバイズドエディション,Agricola (Revised Edition),2016,2
18,1,5-6人拡張,Expansion for 5 and 6 Players,2016,2
19,1,アルティフェクスデッキ,Artifex Deck,2017,2
20,0,青拡張,Blue Expansion,2017,2
21,0,赤拡張,Red Expansion,2017,2
22,0,黄拡張,Yellow Expansion,2017,2
23,0,緑拡張,Green Expansion,2017,2
24,0,白拡張,White Expansion,2017,2
25,0,紫拡張,Purple Expansion,2017,2
26,0,泥沼からの出発 (リバイズドエディション),Farmers of the Moor (Revised Edition),2018,2
27,1,ブーブルクスデッキ,Bubulcus Deck,2018,2
28,0,Changelings拡張,Changelings,2018,2
29,1,コルバリウスデッキ,Corbarius Deck,2019,2
30,0,Newdale拡張,Agricola Meets Newdale,2019,2
31,1,ドゥルチナリアデッキ,Dulcinaria Deck,2020,2
32,0,Consul Dirigensデッキ,Consul Dirigens Deck,2021,2
33,1,アグリコラ：15周年記念BOX,15 years of Agricola: The Anniversary Box,2022,2
9001,0,Lデッキ,L-Deck,,1
9002,0,Lデッキ (リバイズドエディション),L-Deck (Revised Edition),,2
9011,0,その他,Misc,,1
9012,0,その他 (リバイズドエディション),Misc (Revised Edition),,2